invoice_date,vendor,vendor_address,vendor_email,ship_to,pieces_written,invoice_total_written,source_image,transcription_note,line,quantity,description,unit_price_written,amount_written,confidence,notes
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,1,1,Pygmy Cory,,22.00?,medium,Item looks like Pygmy Cory; amount partly unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,2,1,Chocolate Bristle?,,18.75,low,Handwriting unclear; may be a bristlenose/bristle item
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,3,3,(m) Gramma / Gramma?,18.75?,35.55?,low,Looks like Gramma; price/amount alignment unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,4,2,(f) Gramma / Gramma?,22.50?,45.00,low,Looks like Gramma; price/amount alignment unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,5,1,Lantern Bristle?,,26.00,low,Very unclear item name
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,6,3,Ramstadi Cich?,,18.75?,low,Could be a cichlid item; spelling uncertain
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,7,4,Blue Spot Goby,13.50,40.50,medium,Description readable; qty/amount alignment may be shifted
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,8,2,Peach Tetra,13.50,54.00,medium,Description readable; amount alignment may be shifted
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,9,1,Anthias?,16.49?,32.98,low,Name unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,10,1,Red Banded,,16.00,medium,Bracketed with Watchman note
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,11,2,Rose,,16.00,medium,Bracketed with Watchman note
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,12,2,Tangie / Tanger?,13.50,27.00,low,Bracketed with Watchman note; color/name uncertain
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,13,2,Yellow,11.25,22.50,medium,Likely bracketed with Watchman note
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,14,2,Blue Stripe Pipe,16.50,33.00,medium,Description fairly readable
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,15,4,(l) Seahorse,22.00,44.00,medium,Size marker may be L
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,16,2,Blue Stripe Coris,59.97?,239.90,medium,Description fairly readable; price may be 59.97/59.98
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,17,2,(m/l) Hybrid,16.50,33.00,medium,Size marker uncertain
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,18,1,T/K Naso?,44.98?,89.98,low,Item name very unclear; Naso likely
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,19,2,Green Coris Wrasse,,145.00,medium,Description fairly readable
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,20,1,Sailfinness / Sailfin?,16.50,33.00,low,Name unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,21,3,McFate's Wrasse? / McCosker's Wrasse?,,33.00,low,Could be McCosker's Wrasse; handwriting unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,22,2,Cinder Leopard?,18.50,55.50,low,Description unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,23,2,Strike Wrasse,26.25,52.50,medium,Description fairly readable
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,24,2,Cella / Cells Crab?,16.50,33.00,low,Crab item; first word unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,25,2,Crab?,,79.98,low,Line partly obscured by thumb / text unclear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,26,20,Snail,,40.00,high,Description readable
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,27,80,Urchin Pin Cushion?,,37.50,low,"Text looks like Urchin Pin Cushion, but qty/amount unclear"
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,28,3,Cucumber,,37.50,medium,Description readable
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,29,3,Purple C.B.S.,149.99?,299.98,medium,C.B.S. likely Coral Banded Shrimp; amount clear
2026-06-24,"Merit Imports, Inc.","594 Broad Street, Glen Rock, NJ 07452",merit.imports@verizon.net,Hidden Reef,58,1903.41,20260624_165120---83c5b971-7073-4ece-a8b6-47c5fe1103c4.jpg,Best-effort transcription from a tilted handwritten photo. Unclear rows are marked in confidence/notes.,30,2,Peppermint Shrimp?,18.00?,36.00,low,Bottom line partly obscured; name inferred from visible letters
